Start Timestamp,End Timestamp,Dialogue
"00:01:59,455","00:02:02,445",People are always asking me if I know Tyler Durden.
"00:02:03,533","00:02:04,328",Three minutes.
"00:02:04,412","00:02:06,641",This is it. Ground zero.
"00:02:06,731","00:02:10,244",Would you like to say a few words to mark the occasion?
"00:02:10,329","00:02:13,718","With a gun barrel between your teeth, you speak only in vowels."
"00:02:13,808","00:02:15,798",I can't think of anything.
"00:02:15,886","00:02:19,594",For a second I totally forget about Tyler's whole controlled demolition thing
"00:02:19,684","00:02:21,753",and I wonder how clean that gun is.
"00:02:21,843","00:02:23,833",Getting exciting now.
"00:02:23,922","00:02:26,958","That old thing, how you always hurt the one you love."
"00:02:27,041","00:02:29,031","Well, it works both ways."
"00:02:29,120","00:02:33,235",We have front row seats for this theatre of Mass Destruction.
"00:02:33,317","00:02:35,955",The Demolitions Committee of Project Mayhem
"00:02:36,036","00:02:39,344",wrapped the foundation columns of a dozen buildings with blastin gelatin.
"00:02:40,074","00:02:43,303","In two minutes, primary charges will blow base charges"
"00:02:43,392","00:02:46,621",and a few blocks will be reduced to smouldering rubble.
"00:02:46,710","00:02:49,621","I know this, because Tyler knows this."
"00:02:49,709","00:02:52,938",Two and a half. Think of everything we've accomplished.
"00:02:53,027","00:02:58,178","Suddenly I realise that all of this: the gun, the bombs, the revolution..."
"00:02:58,264","00:03:01,414",has got something to do with a girl named Marla Singer.
"00:03:03,822","00:03:06,095",Bob. Bob had bitch tits.
"00:03:06,180","00:03:10,171",This was a support group for men with testicular cancer.
"00:03:10,258","00:03:13,408","The big moosie slobbering all overme, that was Bob."
"00:03:13,497","00:03:15,565",We're still men.
"00:03:15,655","00:03:17,770","Yes, we're men."
"00:03:17,854","00:03:19,923",Men is what we are.
"00:03:20,013","00:03:23,321","Eight month ago, Bob's testicles were removed. Then hormone therapy."
"00:03:23,411","00:03:27,038",He developed bitch tits because his testosterone was too high
"00:03:27,129","00:03:29,164",and his body upped the estrogen.
"00:03:29,248","00:03:32,795",- That was where I fit... - They're gonna have to open my pecs again
"00:03:32,886","00:03:35,240",..between those huge sweating tits
"00:03:35,325","00:03:39,396","that hung enormous, the way you'd think of God's as big."
"00:03:39,483","00:03:41,598","OK, you cry now."
