Start Timestamp,End Timestamp,Dialogue
"00:01:45,089","00:01:47,924","Three of a kind, let's do this. that's it? three guys?"
"00:01:48,092","00:01:51,426",Two guys on the roof. every guy gets a share. five shares is plenty.
"00:01:51,596","00:01:54,051",Six shares. don't forget the guy who planned the job.
"00:01:54,223","00:01:56,512",He thinks he can sit it out and still take a slice.
"00:01:56,684","00:01:59,804",- I know why they call him the Joker. why do they call him the Joker?
"00:01:59,979","00:02:01,806",I heard he wears makeup. makeup?
"00:02:01,981","00:02:03,938","Yeah, to scare people. you know, war paint."
"00:02:16,496","00:02:19,699","All right, everybody, hands up, heads down!"
"00:02:20,083","00:02:22,870","I said, hands up, heads down!"
"00:02:23,044","00:02:25,998","Let's go, pal, I'm making a withdrawal here."
"00:02:26,255","00:02:27,714","- I said, hands up! - no!"
"00:02:28,091","00:02:30,332",Here comes the silent alarm.
"00:02:30,510","00:02:31,838",And there it goes.
"00:02:32,011","00:02:33,209",Heads down!
"00:02:33,388","00:02:35,713","All right, tootsie, you're taking a dive with me."
"00:02:35,890","00:02:38,559","- down! I said, stay down there! don't hurt me!"
"00:02:38,810","00:02:41,811","Funny, it didn't dial 911. it was trying to reach a private number."
"00:02:41,979","00:02:43,889","Is it a problem? no, I'm done here."
"00:02:53,282","00:02:55,655",Sit down! down!
"00:02:56,160","00:02:58,319","Down! I said, stay down there!"
"00:03:02,583","00:03:05,419",Obviously we don't want you doing anything with your hands...
"00:03:05,586","00:03:08,504",...other than holding on for dear life.
"00:03:16,264","00:03:18,256",On the ground! stay on the ground!
"00:03:18,433","00:03:22,098",Nobody make a move! nobody! stay down!
"00:03:42,415","00:03:44,491",You have any idea who you're stealing from?
"00:03:44,667","00:03:48,368","- you and your friends are dead. he's out, right?"
"00:03:51,466","00:03:52,711",What...?
"00:04:00,558","00:04:02,301",Where did you learn to count?
"00:04:05,104","00:04:07,144",They wired this thing up with like 5000 volts.
"00:04:07,315","00:04:08,560",What kind of bank does that?
"00:04:08,733","00:04:11,769",A mob bank. I guess the Joker's as crazy as they say.
"00:04:11,944","00:04:12,976",Where's the alarm guy?
"00:04:13,154","00:04:15,645","Boss told me when the guy was done, I should take him out."
"00:04:15,823","00:04:17,152","One less share, right?"
"00:04:18,076","00:04:20,317","Funny, he told me something similar."
"00:04:20,495","00:04:21,953",He what? no! no!
"00:04:33,675","00:04:35,050",That's a lot of money.
"00:04:35,218","00:04:38,918","If this Joker guy was so smart, he'd have had us bring a bigger car."
"00:04:40,348","00:04:44,262",I'm betting the Joker told you to kill me soon as we loaded the cash.
"00:04:45,186","00:04:48,970","No, no, no, I kill the bus driver."
"00:04:49,691","00:04:50,805",Bus driver?
"00:04:53,027","00:04:54,521",What bus driver?
"00:04:58,616","00:05:00,525",School's out. time to go.
"00:05:00,702","00:05:02,943","That guy's not getting up, is he?"
"00:05:03,705","00:05:05,365",That's a lot of money.
"00:05:08,876","00:05:11,202",What happened to the rest of the guys?
"00:05:17,969","00:05:20,341","You think you're smart, huh?"
"00:05:21,055","00:05:22,680",The guy that hired youse...
"00:05:23,224","00:05:25,797",...he'll just do the Same to you.
"00:05:26,102","00:05:29,056","Oh, criminals in this town used to believe in things."
"00:05:29,230","00:05:30,511",Honor...
"00:05:30,690","00:05:32,398",...respect.
"00:05:32,567","00:05:34,892","Look at you. what do you believe in, huh?"
"00:05:35,069","00:05:36,350",What do you believe in?!
"00:05:36,696","00:05:41,607",I believe whatever doesn't kill you simply makes you...
"00:05:43,202","00:05:44,745",...stanger.
"00:06:26,704","00:06:29,622","Mr. mayor, you were elected in a campaign to clean up the city."
"00:06:29,791","00:06:31,949",- when are you gonna start? I already have.
"00:06:32,126","00:06:33,205",Like this batman.
"00:06:33,378","00:06:35,951","We're hearing he's doing good, criminals are running scared."
